name,surname,birthday,sail_number,country,model,club_name,category_name
Luka,Marinic,1998-04-12,10001,CRO,Laser,YC Split,SENIOR
Ana,Kovacevic,2003-09-21,10002,CRO,Optimist,YC Rijeka,KADET
Mateo,Horvat,1995-01-30,10003,SVN,ILCA 7,JK Piran,SENIOR
Nika,Zupanc,2007-07-14,10004,SVN,Optimist,JK Izola,JUNIOR
Marco,Rossi,1992-11-05,10005,ITA,ILCA 6,CV Venezia,SENIOR
Giulia,Bianchi,2006-02-18,10006,ITA,Optimist,CV Genova,JUNIOR
Carlos,Navarro,1997-06-09,10007,ESP,ILCA 7,RCN Valencia,SENIOR
Elena,Suarez,2008-12-03,10008,ESP,Optimist,CN Barcelona,KADET
Thomas,Muller,1994-03-27,10009,GER,ILCA 6,KYC Kiel,SENIOR
Sophie,Weber,2005-10-10,10010,GER,420,NRV Hamburg,JUNIOR
James,Carter,1999-05-16,10011,GBR,ILCA 7,RSS Plymouth,SENIOR
Emily,Turner,2004-08-29,10012,GBR,ILCA 6,RLYC London,JUNIOR
Noah,Andersen,2001-01-08,10013,DEN,49er,Hellerup Sejlklub,SENIOR
